T0349670.2,2193,NC_044907.1,0.0,3722,2015,50263242,50261055,minus
T0349670.2,2193,NC_044907.1,0.0,3722,2015,50315293,50313106,minus
T0349670.2,711,NC_044907.1,0.0,1238,670,50260127,50259417,minus
T0349670.2,711,NC_044907.1,0.0,1238,670,50312178,50311468,minus
T0349670.2,461,NC_044907.1,0.0,802,434,50258386,50257926,minus
T0349670.2,461,NC_044907.1,0.0,802,434,50310437,50309977,minus
T0349670.2,378,NC_044907.1,0.0,688,372,50257100,50256723,minus
T0349670.2,378,NC_044907.1,0.0,688,372,50309151,50308774,minus
T0349670.2,311,NC_044907.1,2.23e-156,558,302,50260968,50260658,minus
T0349670.2,311,NC_044907.1,2.23e-156,558,302,50313019,50312709,minus
T0349670.2,223,NC_044907.1,1.86e-102,379,205,50259090,50258868,minus
T0349670.2,223,NC_044907.1,1.86e-102,379,205,50311141,50310919,minus
T0349670.2,128,NC_044907.1,1.19e-54,220,119,50259324,50259197,minus
T0349670.2,128,NC_044907.1,1.19e-54,220,119,50311375,50311248,minus
T0349670.2,235,NC_044910.1,2.09e-22,113,61,31914554,31914785,plus
