T0304850.2,1066,NC_044905.1,0.0,1868,1011,17059448,17060513,plus
T0304850.2,458,NC_044905.1,0.0,841,455,17069103,17069560,plus
T0304850.2,443,NC_044905.1,0.0,756,409,17072898,17073339,plus
T0304850.2,179,NC_044905.1,8.80e-85,320,173,17070451,17070629,plus
T0304850.2,166,NC_044905.1,6.85e-81,307,166,17063025,17063190,plus
T0304850.2,154,NC_044905.1,1.49e-72,279,151,17072469,17072622,plus
T0304850.2,142,NC_044905.1,5.45e-62,244,132,17070908,17071049,plus
T0304850.2,115,NC_044905.1,1.54e-52,213,115,17066293,17066407,plus
T0304850.2,116,NC_044905.1,3.33e-49,202,109,17065317,17065432,plus
T0304850.2,113,NC_044905.1,3.33e-49,202,109,17066629,17066741,plus
T0304850.2,102,NC_044905.1,2.59e-45,189,102,17061528,17061629,plus
T0304850.2,92,NC_044905.1,1.57e-37,163,88,17062030,17062121,plus
T0304850.2,81,NC_044905.1,1.22e-33,150,81,17068864,17068944,plus
T0304850.2,79,NC_044905.1,1.58e-32,147,79,17060633,17060711,plus
T0304850.2,73,NC_044905.1,3.42e-29,135,73,17065745,17065817,plus
T0304850.2,69,NC_044905.1,5.72e-27,128,69,17067754,17067822,plus
T0304850.2,80,NC_044905.1,4.46e-23,115,62,14275700,14275621,minus
T0304850.2,75,NC_044905.1,5.76e-22,111,60,14260967,14260893,minus
