T0090820.2,1175,NC_044910.1,0.0,2056,1113,38160364,38159196,minus
T0090820.2,873,NC_044910.1,0.0,1561,845,38146637,38145767,minus
T0090820.2,337,NC_044910.1,5.71e-172,610,330,38156061,38155727,minus
T0090820.2,220,NC_044910.1,8.05e-111,407,220,38149133,38148914,minus
T0090820.2,203,NC_044910.1,2.27e-101,375,203,38151362,38151160,minus
T0090820.2,199,NC_044910.1,3.80e-99,368,199,38150315,38150117,minus
T0090820.2,178,NC_044910.1,1.79e-87,329,178,38157822,38157645,minus
T0090820.2,164,NC_044910.1,1.09e-79,303,164,38158076,38157913,minus
T0090820.2,136,NC_044910.1,3.99e-64,252,136,38149396,38149261,minus
T0090820.2,132,NC_044910.1,6.68e-62,244,132,38156319,38156188,minus
T0090820.2,133,NC_044910.1,8.63e-61,241,130,38147280,38147148,minus
T0090820.2,96,NC_044910.1,6.87e-42,178,96,38154732,38154637,minus
T0090820.2,98,NC_044910.1,2.47e-41,176,95,38149601,38149504,minus
T0090820.2,86,NC_044910.1,2.49e-36,159,86,38155648,38155563,minus
T0090820.2,80,NC_044910.1,2.50e-31,143,77,38157488,38157409,minus
T0090820.2,69,NC_044910.1,7.01e-27,128,69,38152602,38152534,minus
