T0742900.2,1005,NC_044911.1,0.0,1840,996,41704753,41703749,minus
T0742900.2,394,NC_044911.1,0.0,728,394,41710566,41710173,minus
T0742900.2,389,NC_044911.1,0.0,708,383,41703348,41702960,minus
T0742900.2,299,NC_044911.1,3.18e-153,547,296,41702587,41702289,minus
T0742900.2,226,NC_044911.1,2.60e-114,418,226,41709611,41709386,minus
T0742900.2,170,NC_044911.1,3.51e-83,315,170,41711474,41711305,minus
T0742900.2,160,NC_044911.1,1.28e-72,279,151,41706825,41706666,minus
T0742900.2,234,NC_044911.1,7.70e-70,270,146,26470694,26470927,plus
T0742900.2,111,NC_044911.1,4.77e-47,195,105,41707430,41707320,minus
T0742900.2,298,NC_044911.1,6.17e-46,191,103,26476762,26477059,plus
T0742900.2,90,NC_044911.1,4.84e-37,161,87,41707143,41707054,minus
T0742900.2,90,NC_044911.1,4.84e-37,161,87,41709993,41709904,minus
